pair_index,environment,batch_index,index_in_batch,network_record,target_original_q,target_counterfactual_q,target_delta_q_wrapped,target_delta_l2_rad,ordinary_pred_original_q,ordinary_pred_counterfactual_q,ordinary_pred_delta_q_wrapped,ordinary_pred_delta_l2_rad,ordinary_pred_required_ratio,ordinary_direction_cosine,ordinary_original_scene_error_l2_rad,ordinary_counterfactual_scene_error_l2_rad,ordinary_cf_prediction_to_original_target_l2_rad,ordinary_cf_prediction_closer_to_cf_target,cftrained_pred_original_q,cftrained_pred_counterfactual_q,cftrained_pred_delta_q_wrapped,cftrained_pred_delta_l2_rad,cftrained_pred_required_ratio,cftrained_direction_cosine,cftrained_original_scene_error_l2_rad,cftrained_counterfactual_scene_error_l2_rad,cftrained_cf_prediction_to_original_target_l2_rad,cftrained_cf_prediction_closer_to_cf_target
0,197,0,5,7,0.039707005024 -1.59106147289 -2.05072498322 0.290258586407 -0.791873574257 1.24244523048 -0.413947671652,0.00383618357591 -1.5807954073 -2.05182266235 0.309321314096 -0.81562513113 1.22952020168 -0.473171502352,-0.035870821448 0.0102660655975 -0.00109767913818 0.0190627276897 -0.0237515568733 -0.012925028801 -0.0592238306999,0.07742968014178546,0.063255995512 -1.62954366207 -1.98306202888 0.283848851919 -0.797423899174 1.26531255245 -0.291944801807,0.0632555186749 -1.62953794003 -1.98305535316 0.28385040164 -0.797419905663 1.26531517506 -0.291946709156,-4.76837158203e-07 5.72204589844e-06 6.67572021484e-06 1.54972076416e-06 3.99351119995e-06 2.62260437012e-06 -1.90734863281e-06,1.0315048325936054e-05,0.0001332182737555888,0.10300942842292729,0.14863786426362216,0.21386757140097634,0.148637968527825,0,0.0220586229116 -1.63109409809 -1.94498240948 0.327611386776 -0.779035389423 1.2414880991 -0.357723683119,0.0221764016896 -1.63115882874 -1.94486677647 0.327507674694 -0.779205620289 1.24160122871 -0.357709616423,0.000117778778076 -6.47306442261e-05 0.000115633010864 -0.000103712081909 -0.000170230865479 0.000113129615784 1.4066696167e-05,0.00029011000581243885,0.003746754542718032,-0.2335094863084901,0.13348285299809554,0.17160105519389682,0.13353831946622194,0
1,198,0,226,8,-2.82748174667 0.974862754345 -1.05698859692 -0.419185221195 1.49888265133 1.2358174324 3.01497650146,-2.83569025993 0.934296786785 -1.07409179211 -0.374390363693 1.56045734882 1.2134373188 3.02999424934,-0.00820851325989 -0.0405659675598 -0.0171031951904 0.044794857502 0.0615746974945 -0.0223801136017 0.015017747879,0.09235757449212827,-2.7774643898 0.93804782629 -1.08379745483 -0.438503116369 1.37596607208 1.15951955318 3.12555527687,-2.77747297287 0.938104569912 -1.08379602432 -0.438491463661 1.37593770027 1.15950858593 3.12558984756,-8.58306884766e-06 5.67436218262e-05 1.43051147461e-06 1.16527080536e-05 -2.83718109131e-05 -1.09672546387e-05 3.45706939697e-05,7.450981725385079e-05,0.0008067537250039123,-0.3947156514817383,0.1952088324084366,0.23173519843886017,0.19523632889020973,0,-2.84731197357 0.923019766808 -1.07270669937 -0.403490483761 1.43498361111 1.16461884975 3.04481577873,-2.85065579414 0.918499410152 -1.07293975353 -0.404808700085 1.4358369112 1.16497063637 3.04381752014,-0.0033438205719 -0.00452035665512 -0.000233054161072 -0.00131821632385 0.000853300094604 0.000351786613464 -0.000998258590698,0.005937605907416292,0.06428932266862812,0.3381472637911207,0.11669200814099279,0.13953667008783593,0.11832508194133778,0
2,198,1,99,9,1.13700723648 0.792406201363 -3.13556361198 1.79548501968 0.0557799786329 -0.00927732791752 0.533182680607,1.12391734123 0.800114631653 3.12456965446 1.80674922466 0.0388979874551 0.0366875752807 0.525338053703,-0.0130898952484 0.00770843029022 -0.0230520407306 0.0112642049789 -0.0168819911778 0.0459649031982 -0.00784462690353,0.05786498314359249,1.16128909588 0.785175979137 3.08432340622 1.79311752319 0.0687197074294 -0.0361160486937 0.582140147686,1.16128671169 0.785185515881 3.08432245255 1.79311835766 0.0687180384994 -0.0361193865538 0.582148730755,-2.38418579102e-06 9.53674316406e-06 -9.53674316406e-07 8.34465026855e-07 -1.66893005371e-06 -3.33786010742e-06 8.58306884766e-06,1.3632143892678679e-05,0.0002355853774095188,-0.07159360852200461,0.08909966516873483,0.11332487947002776,0.08910437697817765,0,1.178211689 0.780194580555 3.10785388947 1.88258445263 0.107507072389 -0.050255857408 0.539808988571,1.17491781712 0.778318941593 3.10416865349 1.88342726231 0.111169181764 -0.0501819476485 0.5393242836,-0.00329387187958 -0.00187563896179 -0.00368523597717 0.000842809677124 0.003662109375 7.39097595215e-05 -0.000484704971313,0.006504640840938023,0.11241065818332129,0.1819381844590459,0.12415136022876323,0.14945526792564084,0.12663545676124638,0
3,290,0,231,7,-1.62271714211 -2.17855787277 -2.58358764648 1.37208259106 1.44237220287 -0.884363889694 1.33255147934,-1.66165494919 -2.1829931736 -2.55950832367 1.4326210022 1.4402141571 -0.872837722301 1.28259003162,-0.0389378070831 -0.00443530082703 0.0240793228149 0.0605384111404 -0.00215804576874 0.0115261673927 -0.0499614477158,0.09172891408200776,-1.57536816597 -2.21261668205 -2.60807466507 1.39767956734 1.47469294071 -0.904414832592 1.4704182148,-1.57535171509 -2.2126019001 -2.60804486275 1.39766359329 1.47469902039 -0.904398143291 1.47040367126,1.6450881958e-05 1.47819519043e-05 2.98023223877e-05 -1.59740447998e-05 6.07967376709e-06 1.66893005371e-05 -1.45435333252e-05,4.647037436234845e-05,0.0005066055215785381,-0.011656474281013855,0.15846341677503362,0.22217553908550874,0.15844445033571658,0,-1.53479230404 -2.17691326141 -2.50560641289 1.50143432617 1.53888142109 -0.909309744835 1.35152053833,-1.53313887119 -2.17734766006 -2.50432610512 1.50150346756 1.5382194519 -0.909292638302 1.35085582733,0.00165343284607 -0.000434398651123 0.00128030776978 6.91413879395e-05 -0.000661969184875 1.71065330505e-05 -0.000664710998535,0.0023338482016196397,0.025442884885055174,0.03454737812402139,0.2020954629732225,0.19983078586159403,0.20298047506692815,1
4,291,0,36,9,-0.315230995417 0.547525644302 0.123846508563 0.346436202526 1.3207719326 -0.0711436569691 1.6760674715,-0.315246254206 0.548466742039 0.193535029888 0.344278246164 1.29935359955 -0.0540079809725 1.67802131176,-1.52587890625e-05 0.000941097736359 0.0696885213256 -0.00215795636177 -0.0214183330536 0.0171356759965 0.00195384025574,0.07495483008041681,-0.342732340097 0.522340476513 0.0355360880494 0.310324937105 1.2396889925 -0.0923012942076 1.61978340149,-0.342719465494 0.52230232954 0.0355322733521 0.310287922621 1.2397081852 -0.0922731608152 1.61972165108,1.28746032715e-05 -3.81469726562e-05 -3.81469726562e-06 -3.70144844055e-05 1.91926956177e-05 2.8133392334e-05 -6.17504119873e-05,8.932262654648024e-05,0.0011916860654696787,-0.04058195008664645,0.14381709155671296,0.18968451930730654,0.14384217890306264,0,-0.277573734522 0.562501490116 0.0760554820299 0.360921442509 1.2691668272 -0.126420617104 1.53775763512,-0.26781603694 0.557211756706 0.0779287368059 0.362578213215 1.2698045969 -0.130968421698 1.53940439224,0.00975769758224 -0.00528973340988 0.001873254776 0.00165677070618 0.000637769699097 -0.00454780459404 0.00164675712585,0.012379378018665956,0.1651578424683838,0.03607081617804029,0.17024802412061182,0.20502806626482115,0.1719432300198094,0
5,291,0,116,9,0.0730838254094 0.980679392815 -1.96417415142 0.107111640275 -2.50655341148 0.804472565651 2.39697480202,0.121304400265 0.950092017651 -1.97821617126 0.0715551748872 -2.47839784622 0.890339791775 2.3245511055,0.0482205748558 -0.030587375164 -0.0140420198441 -0.0355564653873 0.0281555652618 0.0858672261238 -0.0724236965179,0.13466016525211272,0.180731266737 0.98479694128 -1.91329050064 0.101700805128 -2.66112422943 0.77452903986 2.41322636604,0.18073245883 0.984769284725 -1.91326880455 0.101718388498 -2.66107702255 0.774506151676 2.41316699982,1.19209289551e-06 -2.76565551758e-05 2.16960906982e-05 1.75833702087e-05 4.72068786621e-05 -2.28881835938e-05 -5.93662261963e-05,8.84472076618352e-05,0.0006568179052524037,0.3053553399999416,0.19818227648914172,0.25397652896282763,0.1981492281379583,0,0.239402547479 1.05510509014 -1.89664018154 0.15220528841 -2.59067869186 0.717273890972 2.37360048294,0.244584813714 1.04769432545 -1.88962495327 0.154959976673 -2.58708405495 0.714666962624 2.37639498711,0.00518226623535 -0.00741076469421 0.00701522827148 0.00275468826294 0.00359463691711 -0.00260692834854 0.00279450416565,0.012888126137116377,0.095708527558889,-0.02588061299782512,0.23456855369000418,0.29135967226627213,0.23816883943888456,0
6,291,0,139,9,0.185233041644 0.795202195644 0.197231277823 -0.0531866215169 -1.25857150555 0.557990550995 -1.44664847851,0.223701179028 0.750102698803 0.149565652013 -0.107320249081 -1.22288250923 0.51806563139 -1.43712663651,0.0384681373835 -0.0450994968414 -0.0476656258106 -0.0541336275637 0.035688996315 -0.0399249196053 0.00952184200287,0.10804902991149123,0.257422655821 0.792717158794 0.210166499019 -0.0686078444123 -1.32378041744 0.571682274342 -1.44365620613,0.25739428401 0.7927095294 0.21017126739 -0.0685713067651 -1.32377636433 0.571636974812 -1.44364905357,-2.83718109131e-05 -7.62939453125e-06 4.76837158203e-06 3.65376472473e-05 4.05311584473e-06 -4.52995300293e-05 7.15255737305e-06,6.588276402228088e-05,0.0006097487786447411,-0.13081202849268803,0.10035571253745958,0.14566087065193514,0.1003219078586025,0,0.33634057641 0.812218368053 0.217040255666 0.0131191601977 -1.32293951511 0.5346981287 -1.45071864128,0.34355416894 0.815242707729 0.221114233136 0.0146153559908 -1.3226120472 0.534426033497 -1.45135855675,0.0072135925293 0.0030243396759 0.0040739774704 0.00149619579315 0.000327467918396 -0.0002720952034 -0.000639915466309,0.008978262904150151,0.08309434070351884,-0.12125514056561407,0.18059411201785716,0.22138573181684218,0.18791851286606495,0
7,291,0,147,9,3.09114813805 -0.687531650066 0.708056628704 -0.501837968826 -2.27774786949 0.640274643898 -1.71075034142,3.15980553627 -0.612518429756 0.767105042934 -0.501853823662 -2.2886493206 0.599946558475 -1.75540471077,0.0686573982239 0.0750132203102 0.0590484142303 -1.58548355103e-05 -0.0109014511108 -0.0403280854225 -0.0446543693542,0.13253960102274373,3.17351460457 -0.652574121952 0.706772863865 -0.56588113308 -2.17893695831 0.68271023035 -1.69177412987,3.1734726429 -0.652511179447 0.706775724888 -0.565748691559 -2.17896103859 0.682690680027 -1.69175744057,-4.19616699219e-05 6.29425048828e-05 2.86102294922e-06 0.000132441520691 -2.40802764893e-05 -1.95503234863e-05 1.66893005371e-05,0.00015656337418256931,0.001181257322147085,0.11146854867258348,0.15502874020376356,0.18010406563293652,0.1549473040086907,0,-3.20731306076 -0.764835953712 0.851404070854 -0.436321556568 -2.14688920975 0.596782565117 -1.68110227585,-3.22084951401 -0.763562202454 0.854714095592 -0.427576243877 -2.16285777092 0.594553589821 -1.67736530304,-0.0135364532471 0.00127375125885 0.00331002473831 0.00874531269073 -0.0159685611725 -0.00222897529602 0.00373697280884,0.023371414359644068,0.17633533056760556,-0.17478407786544486,0.2257094486546961,0.2597110400000267,0.223693367856739,0
8,291,0,165,9,2.70207762718 -1.05121481419 1.62954103947 -0.960307896137 1.58532094955 0.123728238046 1.07223284245,2.69433999062 -1.09901058674 1.61085498333 -0.953583359718 1.55812740326 0.168837174773 1.11994731426,-0.00773763656616 -0.0477957725525 -0.0186860561371 0.00672453641891 -0.0271935462952 0.045108936727 0.047714471817,0.08825911245336611,2.7810895443 -1.0918520689 1.58291077614 -0.994097828865 1.54476189613 0.111103609204 1.07461071014,2.78106808662 -1.09184658527 1.58289694786 -0.994091391563 1.54476237297 0.11110933125 1.07460713387,-2.14576721191e-05 5.48362731934e-06 -1.38282775879e-05 6.43730163574e-06 4.76837158203e-07 5.72204589844e-06 -3.57627868652e-06,2.7729423487158005e-05,0.00031418198887746046,0.11446126922747894,0.11410733040114637,0.12474974090689553,0.1140933896093602,0,2.82164549828 -1.05836069584 1.56364274025 -0.935308873653 1.5269087553 0.0982727780938 1.03453922272,2.82437872887 -1.05688452721 1.56670761108 -0.935455024242 1.52766120434 0.098877646029 1.0343503952,0.00273323059082 0.00147616863251 0.00306487083435 -0.000146150588989 0.000752449035645 0.000604867935181 -0.000188827514648,0.0044757253178283486,0.05071119789691075,-0.3851495037375528,0.15746698140970447,0.18469342936939476,0.15790088040881442,0
9,291,0,253,9,-2.88337802887 -0.75463539362 -0.70757818222 -0.955599784851 -2.78872704506 -1.56306886673 1.18577635288,-2.94355511665 -0.733405709267 -0.668003559113 -0.944400131702 -2.7546954155 -1.53813612461 1.22833096981,-0.0601770877838 0.0212296843529 0.0395746231079 0.0111996531487 0.0340316295624 0.0249327421188 0.0425546169281,0.09671738870947337,-2.94426560402 -0.810420095921 -0.708193719387 -0.970776081085 -2.94336938858 -1.57737982273 1.29332900047,-2.94414448738 -0.810458481312 -0.708179414272 -0.970716178417 -2.94324660301 -1.57737243176 1.29331588745,0.000121116638184 -3.83853912354e-05 1.43051147461e-05 5.99026679993e-05 0.000122785568237 7.39097595215e-06 -1.31130218506e-05,0.00018771925282573692,0.0019409048913595205,-0.16862441771499914,0.20672822387599601,0.22261668473566618,0.20659933129513006,0,-2.83379268646 -0.754598259926 -0.666886270046 -0.943713843822 -2.85610151291 -1.60494494438 1.24127697945,-2.80899620056 -0.749940514565 -0.646961688995 -0.953214585781 -2.87813544273 -1.60073459148 1.25183439255,0.0247964859009 0.00465774536133 0.0199245810509 -0.00950074195862 -0.0220339298248 0.00421035289764 0.0105574131012,0.04169524480247132,0.4311039137720983,-0.22486507114243048,0.11674356178235945,0.1964901418501467,0.15169370355332204,0
